기준월,사업장,지역,재해건수,부상자수,직업병자수,안전교육이수율(%),근골격계예방교육,화학물질안전교육,안전점검횟수,위험요소발굴건수,개선조치완료건수,소방훈련실시,안전보호구지급
2023-02,용인사업장,용,1,1,0,83,완료,완료,5,6,7,완료,완료
2023-03,용인사업장,용,3,1,0,99,완료,완료,1,7,6,완료,완료
2023-04,용인사업장,용,2,2,0,93,완료,완료,3,10,7,완료,완료
2023-05,용인사업장,용,4,1,1,81,완료,완료,5,8,7,완료,완료
2023-06,용인사업장,용,4,2,2,89,완료,완료,5,3,2,완료,완료
2023-07,용인사업장,용,2,1,2,95,완료,완료,2,3,7,완료,완료
2023-08,용인사업장,용,2,1,2,82,완료,미완료,2,5,0,완료,완료
2023-09,용인사업장,용,2,2,1,89,완료,완료,3,9,7,완료,완료
2023-10,용인사업장,용,3,0,2,84,미완료,미완료,4,8,0,완료,완료
2023-11,용인사업장,용,2,3,2,97,완료,미완료,3,7,3,완료,완료
2023-12,용인사업장,용,0,0,1,89,완료,완료,4,3,6,완료,완료
2024-01,용인사업장,용,1,2,0,93,완료,완료,1,9,2,완료,완료
2024-02,용인사업장,용,3,1,1,82,완료,미완료,5,4,4,완료,완료
2024-03,용인사업장,용,1,2,2,99,완료,완료,1,6,3,완료,완료
2024-04,용인사업장,용,2,2,0,94,완료,완료,1,5,2,완료,완료
2024-05,용인사업장,용,0,3,2,93,완료,완료,4,3,0,완료,완료
2024-06,용인사업장,용,2,1,2,81,완료,완료,2,13,3,완료,완료
2024-07,용인사업장,용,3,2,0,99,미완료,완료,4,10,6,완료,완료
2024-08,용인사업장,용,4,1,1,86,완료,완료,5,6,4,완료,완료
2024-09,용인사업장,용,1,3,1,81,완료,완료,5,8,1,완료,완료
2024-10,용인사업장,용,2,3,1,96,완료,미완료,2,11,6,완료,완료
2024-11,용인사업장,용,0,1,0,95,완료,미완료,1,12,6,완료,완료
2024-12,용인사업장,용,4,0,0,87,완료,완료,2,11,6,완료,완료
2023-01,오산사업장,화,3,2,0,82,완료,완료,4,13,0,완료,완료
2023-02,오산사업장,화,4,0,0,84,완료,완료,4,12,5,완료,완료
2023-03,오산사업장,화,0,0,2,85,완료,미완료,5,5,3,완료,완료
2023-04,오산사업장,화,4,1,2,87,완료,완료,3,12,2,완료,완료
2023-05,오산사업장,화,2,2,0,84,완료,완료,1,7,1,완료,완료
2023-06,오산사업장,화,3,0,0,89,완료,완료,5,3,5,완료,완료
2023-07,오산사업장,화,4,0,1,87,미완료,완료,3,12,6,미완료,완료
2023-08,오산사업장,화,0,3,0,95,완료,완료,1,9,4,완료,완료
2023-09,오산사업장,화,1,0,2,95,완료,완료,4,11,3,완료,완료
2023-10,오산사업장,화,3,1,0,99,미완료,미완료,4,5,2,완료,완료
2023-11,오산사업장,화,3,0,0,93,미완료,완료,3,14,0,완료,완료
2023-12,오산사업장,화,2,2,2,90,완료,완료,2,7,4,완료,완료
2024-01,오산사업장,화,1,1,0,92,완료,완료,1,3,2,완료,완료
2024-02,오산사업장,화,4,2,1,87,미완료,완료,1,8,2,완료,완료
2024-03,오산사업장,화,4,2,1,96,완료,미완료,4,12,7,완료,완료
2024-04,오산사업장,화,3,1,2,82,완료,완료,4,3,1,완료,완료
2024-05,오산사업장,화,3,3,1,83,완료,완료,4,10,6,미완료,완료
2024-06,오산사업장,화,1,2,1,89,미완료,완료,2,5,2,완료,완료
2024-07,오산사업장,화,2,3,0,94,완료,미완료,4,12,6,완료,완료
2024-08,오산사업장,화,3,3,2,83,완료,완료,1,8,0,완료,완료
2024-09,오산사업장,화,4,0,0,99,완료,완료,1,6,5,완료,완료
2024-10,오산사업장,화,3,2,1,84,완료,완료,4,9,3,완료,완료
2024-11,오산사업장,화,2,1,2,82,완료,완료,4,3,7,완료,완료
2024-12,오산사업장,화,4,1,0,84,완료,미완료,5,7,0,완료,완료
2023-01,부천사업장,평,3,2,1,90,완료,완료,2,13,7,완료,완료
2023-02,부천사업장,평,3,1,1,88,완료,완료,2,9,6,완료,완료
2023-03,부천사업장,평,4,2,0,80,완료,완료,2,7,6,완료,완료
2023-04,부천사업장,평,4,3,1,94,완료,완료,5,3,5,완료,완료
2023-05,부천사업장,평,2,1,1,94,완료,완료,5,13,4,완료,완료
2023-06,부천사업장,평,2,3,1,84,미완료,완료,1,4,1,미완료,완료
2023-07,부천사업장,평,2,3,1,97,완료,미완료,5,9,7,완료,완료
2023-08,부천사업장,평,2,2,2,96,완료,완료,3,12,7,완료,완료
2023-09,부천사업장,평,4,0,2,90,미완료,완료,4,8,1,완료,완료
2023-10,부천사업장,평,3,3,2,95,완료,완료,5,12,3,완료,완료
2023-11,부천사업장,평,2,1,2,90,완료,완료,2,10,6,미완료,완료
2023-12,부천사업장,평,1,0,0,95,완료,완료,2,4,4,완료,완료
2024-01,부천사업장,평,1,2,1,92,완료,완료,2,14,3,완료,완료
2024-02,부천사업장,평,1,1,2,87,완료,완료,2,6,5,완료,완료
2024-03,부천사업장,평,2,1,2,90,미완료,미완료,4,3,0,완료,완료
2024-04,부천사업장,평,2,1,0,99,완료,완료,5,13,1,완료,완료
2024-05,부천사업장,평,0,1,0,88,완료,완료,5,7,6,완료,완료
2024-06,부천사업장,평,0,3,1,92,완료,완료,2,12,0,완료,완료
2024-07,부천사업장,평,0,0,1,82,완료,완료,3,13,2,완료,완료
2024-08,부천사업장,평,0,3,1,81,미완료,완료,3,13,7,완료,완료
2024-09,부천사업장,평,4,2,1,95,완료,완료,2,14,3,완료,미완료
2024-10,부천사업장,평,1,1,2,94,완료,미완료,4,14,4,완료,완료
2024-11,부천사업장,평,4,0,0,87,미완료,완료,4,8,4,완료,완료
2024-12,부천사업장,평,1,2,0,99,완료,완료,3,6,6,완료,완료
2023-01,인천사업장,시,1,0,0,99,완료,완료,4,4,5,완료,완료
2023-02,인천사업장,시,3,1,0,98,완료,완료,5,6,5,완료,완료
2023-03,인천사업장,시,0,2,2,98,완료,미완료,1,6,0,완료,완료
2023-04,인천사업장,시,4,3,2,90,완료,완료,5,14,1,완료,완료
2023-05,인천사업장,시,3,2,1,82,완료,미완료,3,7,7,완료,완료
2023-06,인천사업장,시,1,1,0,95,완료,완료,3,10,0,완료,완료
2023-07,인천사업장,시,1,2,1,91,완료,미완료,4,3,6,완료,완료
2023-08,인천사업장,시,1,1,2,90,미완료,완료,5,5,3,완료,완료
2023-09,인천사업장,시,1,0,1,99,완료,완료,5,12,3,미완료,완료
2023-10,인천사업장,시,0,1,1,94,완료,완료,1,6,1,완료,완료
2023-11,인천사업장,시,1,3,1,81,완료,완료,2,11,1,완료,완료
2023-12,인천사업장,시,3,2,1,80,완료,완료,3,4,6,완료,완료
2024-01,인천사업장,시,3,0,0,86,완료,완료,5,4,7,완료,완료
2024-02,인천사업장,시,3,1,1,83,미완료,완료,5,6,7,완료,완료
2024-03,인천사업장,시,3,3,1,85,완료,완료,3,13,4,완료,완료
2024-04,인천사업장,시,3,3,0,92,완료,완료,4,3,0,완료,완료
2024-05,인천사업장,시,4,0,2,99,완료,완료,3,3,4,완료,완료
2024-06,인천사업장,시,2,1,1,87,완료,완료,5,11,4,완료,완료
2024-07,인천사업장,시,1,0,0,87,완료,완료,3,9,6,미완료,완료
2024-08,인천사업장,시,1,3,2,99,완료,완료,2,7,6,완료,완료
2024-09,인천사업장,시,3,1,0,95,완료,완료,3,7,2,완료,완료
2024-10,인천사업장,시,3,0,2,83,완료,미완료,3,13,4,완료,완료
2024-11,인천사업장,시,3,3,2,92,완료,완료,4,10,1,완료,완료
2024-12,인천사업장,시,2,0,0,99,완료,완료,3,14,6,완료,완료
