기준월,사업장,지역,정기점검,긴급점검횟수,발견결함건수,결함조치율(%),설비고장건수,고장복구시간(시간),일상점검실시,환경설비상태,소방시설점검
2024-07,남부사업장,성,완료,1,17,75,8,17,미완료,양호,완료
2024-08,남부사업장,성,미실시,4,16,75,2,8,완료,양호,완료
2024-09,남부사업장,성,진행중,3,15,73,0,34,미완료,보통,완료
2024-10,남부사업장,성,미실시,3,1,78,4,17,미완료,미흡,완료
2024-11,남부사업장,성,미실시,3,2,64,0,41,미완료,양호,미완료
2024-12,남부사업장,성,완료,4,9,68,0,32,미완료,미흡,완료
2023-01,중부사업장,안,진행중,0,17,73,8,14,미완료,미흡,완료
2023-02,중부사업장,안,미실시,4,3,77,1,43,완료,미흡,미완료
2023-03,중부사업장,안,미실시,2,17,97,9,17,미완료,보통,완료
2023-04,중부사업장,안,완료,0,5,72,3,13,완료,미흡,완료
2023-05,중부사업장,안,진행중,3,4,64,8,41,미완료,우수,완료
2023-06,중부사업장,안,진행중,1,11,88,2,25,완료,우수,완료
2023-07,중부사업장,안,진행중,1,2,63,8,12,완료,미흡,완료
2023-08,중부사업장,안,미실시,0,1,90,1,31,미완료,우수,완료
2023-09,중부사업장,안,진행중,1,11,69,7,42,완료,우수,완료
2023-10,중부사업장,안,진행중,2,12,62,9,23,완료,양호,완료
2023-11,중부사업장,안,진행중,0,9,71,0,35,미완료,보통,완료
2023-12,중부사업장,안,진행중,1,3,99,3,45,미완료,양호,완료
2024-01,중부사업장,안,진행중,1,10,89,7,33,완료,보통,미완료
2024-02,중부사업장,안,완료,2,4,70,7,18,완료,보통,완료
2024-03,중부사업장,안,진행중,2,18,88,6,40,완료,보통,완료
2024-04,중부사업장,안,완료,1,11,67,4,41,미완료,우수,완료
2024-05,중부사업장,안,진행중,4,14,72,0,42,완료,우수,완료
2024-06,중부사업장,안,진행중,4,15,72,6,32,미완료,미흡,완료
2024-07,중부사업장,안,진행중,1,16,65,1,37,미완료,미흡,완료
2024-08,중부사업장,안,완료,3,9,76,6,28,미완료,양호,완료
2024-09,중부사업장,안,진행중,1,6,71,2,13,미완료,보통,완료
2024-10,중부사업장,안,미실시,1,12,80,8,9,완료,보통,완료
2024-11,중부사업장,안,미실시,3,1,84,1,33,완료,양호,완료
2024-12,중부사업장,안,진행중,2,5,78,2,17,완료,우수,완료
2023-01,안산사업장,안,완료,2,10,89,3,4,완료,보통,완료
2023-02,안산사업장,안,완료,1,11,72,8,1,완료,우수,완료
2023-03,안산사업장,안,미실시,3,10,88,2,47,미완료,보통,완료
2023-04,안산사업장,안,진행중,0,10,75,9,31,미완료,보통,완료
2023-05,안산사업장,안,미실시,1,5,90,2,39,미완료,우수,완료
2023-06,안산사업장,안,진행중,0,15,60,4,2,미완료,양호,완료
2023-07,안산사업장,안,진행중,4,0,80,9,5,완료,미흡,완료
2023-08,안산사업장,안,완료,0,7,62,6,11,미완료,미흡,완료
2023-09,안산사업장,안,미실시,4,8,80,4,34,완료,우수,완료
2023-10,안산사업장,안,미실시,0,6,89,4,27,미완료,보통,완료
2023-11,안산사업장,안,완료,1,7,86,2,1,완료,우수,완료
2023-12,안산사업장,안,완료,3,12,80,3,37,미완료,양호,완료
2024-01,안산사업장,안,완료,1,5,62,0,0,완료,우수,완료
2024-02,안산사업장,안,완료,0,18,94,4,33,미완료,보통,완료
2024-03,안산사업장,안,미실시,2,19,90,4,23,미완료,양호,완료
2024-04,안산사업장,안,진행중,3,15,71,9,38,완료,양호,미완료
2024-05,안산사업장,안,진행중,3,8,99,1,22,미완료,양호,완료
2024-06,안산사업장,안,미실시,1,14,95,0,4,미완료,미흡,완료
2024-07,안산사업장,안,진행중,0,17,66,3,25,완료,미흡,완료
2024-08,안산사업장,안,미실시,1,17,88,6,13,완료,우수,완료
2024-09,안산사업장,안,완료,0,10,76,9,13,완료,미흡,완료
2024-10,안산사업장,안,완료,4,17,82,0,38,미완료,양호,완료
2024-11,안산사업장,안,완료,0,18,86,5,34,미완료,우수,완료
2024-12,안산사업장,안,완료,3,9,69,7,20,완료,보통,완료
2023-01,용인사업장,용,완료,4,16,75,6,15,완료,양호,완료
2023-02,용인사업장,용,진행중,3,2,80,1,42,미완료,미흡,완료
2023-03,용인사업장,용,완료,2,19,84,1,8,미완료,우수,완료
2023-04,용인사업장,용,미실시,3,5,98,0,0,완료,양호,미완료
2023-05,용인사업장,용,미실시,4,13,66,9,30,미완료,보통,미완료
2023-06,용인사업장,용,진행중,0,13,99,3,47,미완료,우수,완료
2023-07,용인사업장,용,미실시,0,19,77,1,36,미완료,우수,완료
2023-08,용인사업장,용,진행중,1,18,89,4,27,완료,보통,미완료
2023-09,용인사업장,용,미실시,0,15,98,3,29,완료,보통,완료
2023-10,용인사업장,용,미실시,2,4,96,1,42,미완료,미흡,완료
2023-11,용인사업장,용,미실시,3,3,81,1,37,완료,보통,완료
2023-12,용인사업장,용,미실시,3,1,67,4,17,완료,양호,완료
2024-01,용인사업장,용,진행중,1,2,68,2,10,완료,미흡,완료
2024-02,용인사업장,용,완료,3,10,98,8,20,미완료,보통,미완료
2024-03,용인사업장,용,진행중,4,19,91,1,22,완료,우수,완료
2024-04,용인사업장,용,진행중,0,18,94,4,20,미완료,양호,완료
2024-05,용인사업장,용,미실시,0,16,90,1,5,미완료,양호,완료
2024-06,용인사업장,용,완료,1,1,74,6,28,완료,미흡,완료
2024-07,용인사업장,용,진행중,3,16,91,5,23,미완료,보통,완료
2024-08,용인사업장,용,완료,1,7,74,5,23,완료,양호,완료
2024-09,용인사업장,용,완료,2,7,66,6,20,미완료,보통,완료
2024-10,용인사업장,용,미실시,3,9,87,1,13,미완료,미흡,완료
2024-11,용인사업장,용,진행중,4,7,63,3,4,완료,우수,완료
2024-12,용인사업장,용,미실시,1,4,93,6,39,미완료,보통,완료
2023-01,오산사업장,화,미실시,4,17,97,3,41,미완료,미흡,완료
2023-02,오산사업장,화,미실시,3,4,62,9,19,완료,미흡,완료
2023-03,오산사업장,화,미실시,4,6,93,9,18,미완료,우수,완료
2023-04,오산사업장,화,진행중,0,15,84,3,13,미완료,우수,완료
2023-05,오산사업장,화,미실시,2,7,69,3,18,완료,미흡,완료
2023-06,오산사업장,화,미실시,0,15,69,2,29,미완료,보통,완료
2023-07,오산사업장,화,진행중,2,15,61,5,5,완료,보통,완료
2023-08,오산사업장,화,완료,2,1,68,1,28,완료,양호,완료
2023-09,오산사업장,화,미실시,4,0,65,7,44,완료,미흡,완료
2023-10,오산사업장,화,미실시,3,0,99,4,16,미완료,미흡,미완료
2023-11,오산사업장,화,진행중,0,2,66,4,19,미완료,우수,완료
2023-12,오산사업장,화,진행중,1,13,81,7,38,완료,보통,완료
2024-01,오산사업장,화,진행중,4,7,93,0,32,완료,양호,완료
2024-02,오산사업장,화,완료,0,0,88,4,20,완료,양호,완료
2024-03,오산사업장,화,미실시,0,12,60,3,46,미완료,미흡,완료
2024-04,오산사업장,화,완료,0,2,70,9,24,완료,우수,미완료
2024-05,오산사업장,화,진행중,3,6,85,6,39,완료,미흡,완료
2024-06,오산사업장,화,완료,3,2,72,3,30,미완료,보통,완료
2024-07,오산사업장,화,미실시,4,10,92,9,28,미완료,보통,완료
2024-08,오산사업장,화,미실시,2,6,85,7,8,완료,양호,미완료
2024-09,오산사업장,화,미실시,3,11,76,1,12,완료,우수,완료
2024-10,오산사업장,화,미실시,0,19,71,4,8,완료,미흡,완료
2024-11,오산사업장,화,진행중,2,12,80,4,47,미완료,보통,완료
2024-12,오산사업장,화,완료,3,10,84,2,34,완료,보통,완료
2023-01,부천사업장,평,미실시,4,6,96,6,21,미완료,미흡,완료
2023-02,부천사업장,평,미실시,0,13,76,9,11,미완료,양호,완료
2023-03,부천사업장,평,미실시,3,9,88,1,19,미완료,우수,완료
2023-04,부천사업장,평,진행중,4,8,95,9,30,미완료,미흡,완료
2023-05,부천사업장,평,완료,0,6,71,8,38,미완료,보통,완료
2023-06,부천사업장,평,진행중,3,10,94,1,37,미완료,양호,완료
2023-07,부천사업장,평,완료,1,15,67,8,31,미완료,양호,완료
2023-08,부천사업장,평,미실시,2,9,71,4,27,미완료,보통,완료
2023-09,부천사업장,평,미실시,0,15,81,7,19,완료,양호,완료
2023-10,부천사업장,평,진행중,1,10,99,0,30,완료,양호,완료
2023-11,부천사업장,평,진행중,1,16,82,7,6,미완료,우수,완료
2023-12,부천사업장,평,미실시,3,1,89,0,9,완료,미흡,완료
2024-01,부천사업장,평,완료,3,16,95,6,31,미완료,보통,완료
2024-02,부천사업장,평,미실시,0,14,93,3,36,완료,미흡,완료
2024-03,부천사업장,평,완료,2,2,77,4,18,완료,양호,완료
2024-04,부천사업장,평,진행중,3,15,98,0,11,완료,양호,완료
2024-05,부천사업장,평,미실시,0,16,95,4,36,미완료,미흡,완료
2024-06,부천사업장,평,미실시,1,16,88,6,32,완료,양호,완료
2024-07,부천사업장,평,완료,3,2,63,3,27,완료,우수,완료
2024-08,부천사업장,평,진행중,4,6,83,0,11,미완료,보통,완료
2024-09,부천사업장,평,완료,4,1,98,8,10,미완료,보통,완료
2024-10,부천사업장,평,완료,1,15,98,4,16,완료,미흡,완료
2024-11,부천사업장,평,미실시,4,4,61,8,10,미완료,양호,완료
2024-12,부천사업장,평,미실시,0,6,78,5,42,완료,보통,완료
2023-01,인천사업장,시,미실시,3,5,96,6,8,완료,우수,완료
2023-02,인천사업장,시,미실시,1,9,87,0,0,완료,우수,완료
2023-03,인천사업장,시,미실시,1,8,73,0,45,완료,미흡,미완료
2023-04,인천사업장,시,완료,0,1,81,4,3,미완료,양호,완료
2023-05,인천사업장,시,완료,4,6,79,0,13,미완료,미흡,완료
2023-06,인천사업장,시,진행중,3,7,83,2,24,완료,우수,미완료
2023-07,인천사업장,시,진행중,3,9,77,5,45,완료,보통,완료
2023-08,인천사업장,시,완료,1,12,86,8,13,미완료,보통,완료
2023-09,인천사업장,시,미실시,0,2,73,0,39,완료,우수,완료
2023-10,인천사업장,시,미실시,0,1,69,9,42,미완료,양호,완료
2023-11,인천사업장,시,미실시,2,12,96,5,0,미완료,양호,완료
2023-12,인천사업장,시,완료,4,14,85,7,23,미완료,양호,완료
2024-01,인천사업장,시,진행중,2,9,60,3,11,미완료,보통,완료
2024-02,인천사업장,시,진행중,2,3,90,0,12,미완료,우수,완료
2024-03,인천사업장,시,완료,4,8,69,1,37,완료,보통,완료
2024-04,인천사업장,시,진행중,2,10,74,3,27,미완료,양호,완료
2024-05,인천사업장,시,진행중,1,6,74,1,17,미완료,우수,완료
2024-06,인천사업장,시,진행중,2,6,97,9,4,완료,우수,완료
2024-07,인천사업장,시,완료,2,1,80,3,22,완료,미흡,완료
2024-08,인천사업장,시,진행중,3,17,60,0,23,미완료,미흡,완료
2024-09,인천사업장,시,미실시,4,15,83,7,25,미완료,미흡,완료
2024-10,인천사업장,시,완료,0,10,94,4,16,미완료,양호,완료
2024-11,인천사업장,시,완료,2,2,69,9,13,미완료,보통,완료
2024-12,인천사업장,시,진행중,1,18,60,7,41,미완료,우수,완료
