기준월,사업장,지역,총인원,정규직,계약직,신규채용,퇴직자,평균급여(천원),연장근무시간,연차사용률(%),산재보험료(천원),고용보험료(천원),건강검진수검률(%),노사분쟁건수
2023-10,용인사업장,용,111,89,22,4,3,3782,149,80,1986,906,93,0
2023-11,용인사업장,용,51,43,8,4,0,4195,102,68,522,912,99,2
2023-12,용인사업장,용,54,47,7,6,1,4709,243,57,628,1375,74,2
2024-01,용인사업장,용,94,77,17,2,1,5389,109,70,801,730,96,2
2024-02,용인사업장,용,95,79,16,4,0,3999,185,91,1101,813,91,0
2024-03,용인사업장,용,107,87,20,1,4,4900,119,60,1514,569,93,2
2024-04,용인사업장,용,87,72,15,4,3,4543,123,84,1677,1304,75,0
2024-05,용인사업장,용,83,72,11,4,1,3537,359,94,1543,772,92,2
2024-06,용인사업장,용,33,28,5,2,4,3835,285,53,1265,1035,71,1
2024-07,용인사업장,용,111,95,16,3,3,4414,310,71,1163,608,81,1
2024-08,용인사업장,용,87,75,12,6,3,5227,118,94,1239,849,92,0
2024-09,용인사업장,용,84,69,15,6,3,4636,350,77,1262,802,80,0
2024-10,용인사업장,용,74,60,14,5,3,4159,339,76,898,1209,84,1
2024-11,용인사업장,용,104,90,14,1,4,5028,160,59,549,1270,82,2
2024-12,용인사업장,용,99,84,15,4,2,4256,134,75,1080,848,74,0
2023-01,오산사업장,화,50,42,8,4,3,5105,189,53,1137,1242,76,1
2023-02,오산사업장,화,64,53,11,0,3,5361,396,93,687,1068,89,0
2023-03,오산사업장,화,65,52,13,7,3,4117,319,56,662,1450,97,1
2023-04,오산사업장,화,39,32,7,5,1,5252,304,55,1340,1312,73,2
2023-05,오산사업장,화,113,97,16,2,0,5056,295,82,1593,1138,84,1
2023-06,오산사업장,화,61,52,9,3,4,4949,253,93,1395,641,94,0
2023-07,오산사업장,화,87,78,9,4,2,5122,317,86,1483,804,88,2
2023-08,오산사업장,화,118,105,13,3,0,3944,260,53,1394,989,94,2
2023-09,오산사업장,화,115,98,17,0,4,4072,127,92,922,1097,86,0
2023-10,오산사업장,화,99,81,18,1,0,4341,104,51,521,611,94,1
2023-11,오산사업장,화,103,87,16,7,2,4136,266,71,1087,843,84,1
2023-12,오산사업장,화,89,74,15,2,2,5354,148,81,890,776,89,1
2024-01,오산사업장,화,97,84,13,5,4,3578,313,77,1281,1422,98,0
2024-02,오산사업장,화,69,61,8,1,0,3946,165,74,1777,1398,77,0
2024-03,오산사업장,화,71,60,11,5,3,5314,188,92,1208,806,80,1
2024-04,오산사업장,화,37,30,7,3,0,3663,184,57,1066,1404,84,2
2024-05,오산사업장,화,77,68,9,1,1,4327,367,51,1274,1347,72,0
2024-06,오산사업장,화,32,28,4,2,5,4428,319,50,1514,1019,74,2
2024-07,오산사업장,화,33,29,4,5,5,5310,131,58,1313,1386,85,0
2024-08,오산사업장,화,92,78,14,4,4,4169,368,83,1783,1423,75,1
2024-09,오산사업장,화,88,71,17,2,4,5060,230,82,695,1292,89,1
2024-10,오산사업장,화,55,44,11,4,2,4200,364,87,1957,1145,88,0
2024-11,오산사업장,화,40,35,5,3,3,3956,312,73,1749,1481,72,1
2024-12,오산사업장,화,119,98,21,3,1,3689,262,83,540,806,84,1
2023-01,부천사업장,평,87,74,13,6,5,3772,207,60,1361,1282,96,2
2023-02,부천사업장,평,62,50,12,7,1,4589,347,77,1570,1434,75,0
2023-03,부천사업장,평,49,40,9,7,2,4015,393,64,1714,1032,72,0
2023-04,부천사업장,평,82,70,12,5,3,3959,138,58,1344,706,87,2
2023-05,부천사업장,평,35,30,5,6,2,5126,145,87,641,1111,90,1
2023-06,부천사업장,평,64,53,11,6,5,5030,183,74,923,1355,83,1
2023-07,부천사업장,평,116,94,22,0,2,5145,374,58,783,1479,82,2
2023-08,부천사업장,평,107,93,14,2,3,4898,220,68,1442,897,93,1
2023-09,부천사업장,평,82,70,12,7,0,3785,364,82,1899,1319,94,1
2023-10,부천사업장,평,104,83,21,0,2,3833,321,90,567,1487,77,1
2023-11,부천사업장,평,115,102,13,6,4,4585,257,61,1558,1278,83,1
2023-12,부천사업장,평,114,97,17,4,3,5392,271,82,1512,700,98,0
2024-01,부천사업장,평,97,86,11,1,0,4531,175,64,1158,525,89,0
2024-02,부천사업장,평,51,43,8,2,5,5311,256,53,1978,847,97,1
2024-03,부천사업장,평,105,89,16,5,3,3693,261,76,1450,860,70,2
2024-04,부천사업장,평,67,54,13,0,1,5436,160,61,761,1229,96,2
2024-05,부천사업장,평,94,79,15,4,0,4366,241,84,1955,1248,89,0
2024-06,부천사업장,평,42,35,7,0,5,4380,289,57,1054,903,97,0
2024-07,부천사업장,평,119,100,19,4,0,4203,205,92,881,732,78,0
2024-08,부천사업장,평,78,67,11,7,4,4318,158,88,682,540,76,0
2024-09,부천사업장,평,93,80,13,2,2,4856,226,94,500,667,81,2
2024-10,부천사업장,평,105,93,12,4,4,4632,367,82,1824,1101,76,1
2024-11,부천사업장,평,98,78,20,2,5,4866,257,94,930,1226,86,2
2024-12,부천사업장,평,113,98,15,1,3,4489,260,85,1093,984,88,2
2023-01,인천사업장,시,57,48,9,0,0,3831,342,64,540,1434,71,2
2023-02,인천사업장,시,58,50,8,1,2,5366,365,63,709,1062,91,0
2023-03,인천사업장,시,68,60,8,3,5,4166,216,51,886,1411,99,1
2023-04,인천사업장,시,110,95,15,3,2,3734,312,80,1420,778,93,0
2023-05,인천사업장,시,67,59,8,5,2,5181,198,94,874,572,90,1
2023-06,인천사업장,시,59,49,10,1,2,3694,255,93,1346,540,92,2
2023-07,인천사업장,시,77,61,16,2,0,4641,199,82,1178,789,93,0
2023-08,인천사업장,시,36,29,7,7,0,4716,146,69,1725,943,87,2
2023-09,인천사업장,시,72,60,12,2,5,3894,393,54,1915,1429,85,1
2023-10,인천사업장,시,94,76,18,0,4,4957,166,60,1056,1271,95,2
2023-11,인천사업장,시,75,60,15,7,2,4757,150,55,624,1410,90,1
2023-12,인천사업장,시,71,63,8,4,4,3669,223,86,1558,586,75,1
2024-01,인천사업장,시,102,91,11,4,2,3930,225,66,608,1235,85,1
2024-02,인천사업장,시,97,87,10,0,0,5432,261,94,1320,878,92,2
2024-03,인천사업장,시,32,26,6,7,4,5086,349,70,1441,882,81,0
2024-04,인천사업장,시,73,64,9,3,2,4908,191,73,982,1408,84,1
2024-05,인천사업장,시,40,32,8,4,0,4622,351,67,603,713,94,1
2024-06,인천사업장,시,48,39,9,4,3,4016,244,86,663,1385,88,2
2024-07,인천사업장,시,93,79,14,1,2,5345,272,61,745,1160,91,2
2024-08,인천사업장,시,34,29,5,3,0,4057,111,55,1382,646,95,1
2024-09,인천사업장,시,84,70,14,5,2,4940,315,72,898,1422,80,0
2024-10,인천사업장,시,110,97,13,5,2,3581,191,53,1402,864,72,2
2024-11,인천사업장,시,102,82,20,4,0,3836,324,81,1339,646,75,2
2024-12,인천사업장,시,88,70,18,6,5,5224,386,65,1637,979,91,0
