기준월,사업장,지역,도시가스사용량(천m3),도시가스요금(천원),전력사용량(kWh),전기요금(천원),수도사용량(톤),수도요금(천원),에너지효율등급,절감목표달성률(%),탄소배출량(tCO2)
2023-08,중부사업장,안,2331,23798,27558,10178,296,1734,1등급,110,227
2023-09,중부사업장,안,1287,12795,41926,47356,229,3712,5등급,118,269
2023-10,중부사업장,안,1629,38022,11605,21970,285,4170,2등급,90,167
2023-11,중부사업장,안,1715,34900,15074,36426,481,2390,1등급,83,64
2023-12,중부사업장,안,716,11515,41670,49094,369,3992,3등급,117,149
2024-01,중부사업장,안,2852,42728,27551,31493,331,2714,2등급,107,129
2024-02,중부사업장,안,2077,38350,43798,41898,109,3593,4등급,104,55
2024-03,중부사업장,안,1413,16358,29581,11462,436,3733,3등급,105,176
2024-04,중부사업장,안,1807,23386,16221,33474,189,1687,5등급,118,271
2024-05,중부사업장,안,1326,32706,42479,15178,426,3952,5등급,80,206
2024-06,중부사업장,안,690,27719,18181,30213,336,1615,3등급,80,268
2024-07,중부사업장,안,963,41973,19158,30651,186,4624,3등급,90,91
2024-08,중부사업장,안,2408,18881,15603,44980,286,1382,1등급,114,225
2024-09,중부사업장,안,1912,24559,48914,43139,274,2469,3등급,93,240
2024-10,중부사업장,안,1891,21516,39086,40480,479,2047,4등급,102,131
2024-11,중부사업장,안,1573,15454,45918,36181,126,3318,2등급,115,296
2024-12,중부사업장,안,886,31181,31452,48248,453,1983,5등급,111,271
2023-01,안산사업장,안,2407,39424,33308,46942,335,3381,1등급,108,147
2023-02,안산사업장,안,1605,37125,44758,15596,291,3812,1등급,117,63
2023-03,안산사업장,안,891,24645,41105,23668,188,4639,5등급,99,134
2023-04,안산사업장,안,1256,24626,38132,17951,405,3681,1등급,96,129
2023-05,안산사업장,안,941,46993,41875,16054,449,4461,1등급,118,266
2023-06,안산사업장,안,2872,33620,38307,11551,406,2640,5등급,119,250
2023-07,안산사업장,안,1949,34426,45427,41551,313,4349,2등급,108,215
2023-08,안산사업장,안,2798,45693,19824,36950,482,3144,1등급,103,181
2023-09,안산사업장,안,2672,13153,33834,44474,158,2567,1등급,107,155
2023-10,안산사업장,안,1628,29894,38899,38229,417,2487,2등급,102,163
2023-11,안산사업장,안,971,19271,21703,23329,281,4020,1등급,116,220
2023-12,안산사업장,안,794,47052,33185,43686,281,1498,2등급,113,107
2024-01,안산사업장,안,2358,44886,16391,10145,205,4846,2등급,80,117
2024-02,안산사업장,안,551,41601,12410,11820,433,3568,3등급,91,91
2024-03,안산사업장,안,2507,22197,39511,25424,281,1240,1등급,103,177
2024-04,안산사업장,안,582,47845,42574,46536,415,1610,5등급,101,252
2024-05,안산사업장,안,2673,38060,16568,45369,197,2984,2등급,96,87
2024-06,안산사업장,안,897,37094,11230,27517,377,4639,3등급,113,84
2024-07,안산사업장,안,2416,39491,45525,36532,420,1178,1등급,106,70
2024-08,안산사업장,안,2472,18683,42634,10060,153,2703,2등급,95,269
2024-09,안산사업장,안,564,48591,40890,42016,476,4770,4등급,86,157
2024-10,안산사업장,안,2370,49725,19196,31709,177,2039,3등급,81,59
2024-11,안산사업장,안,2981,34700,24820,20891,425,2173,1등급,99,178
2024-12,안산사업장,안,937,20740,45897,40930,489,3092,1등급,102,72
2023-01,용인사업장,용,1933,39062,46686,27451,126,3841,1등급,94,85
2023-02,용인사업장,용,1066,35279,48106,45908,416,4201,2등급,112,129
2023-03,용인사업장,용,1098,18997,30175,13225,134,3126,3등급,102,206
2023-04,용인사업장,용,1045,33110,20754,36655,386,3641,3등급,86,154
2023-05,용인사업장,용,2817,27587,45333,13174,109,3630,2등급,113,207
2023-06,용인사업장,용,2263,17099,33760,21360,173,4698,2등급,91,105
2023-07,용인사업장,용,1219,28984,32559,22861,254,1283,1등급,81,176
2023-08,용인사업장,용,2661,17366,36636,25630,188,4286,4등급,101,240
2023-09,용인사업장,용,1485,10992,16858,12121,124,1100,3등급,117,90
2023-10,용인사업장,용,928,26727,42167,25479,196,3704,5등급,81,145
2023-11,용인사업장,용,1388,36619,19533,49895,236,3883,1등급,96,166
2023-12,용인사업장,용,2915,35693,29385,28122,440,3708,2등급,108,201
2024-01,용인사업장,용,1085,45089,23865,10495,311,3148,5등급,97,66
2024-02,용인사업장,용,2620,45853,42924,18926,231,4409,3등급,99,169
2024-03,용인사업장,용,1058,32634,42363,21468,178,1154,4등급,116,296
2024-04,용인사업장,용,1030,24259,24873,23016,253,1153,4등급,97,273
2024-05,용인사업장,용,2216,21049,10786,14368,175,1176,3등급,105,148
2024-06,용인사업장,용,1831,49779,30085,19261,401,3915,5등급,80,98
2024-07,용인사업장,용,1641,28895,10143,20681,299,4228,4등급,85,193
2024-08,용인사업장,용,647,23647,37718,29097,189,2357,1등급,105,170
2024-09,용인사업장,용,800,27107,13010,15555,167,4836,2등급,90,51
2024-10,용인사업장,용,897,21549,15680,35739,317,1555,1등급,92,127
2024-11,용인사업장,용,2251,45709,36905,17067,403,1995,2등급,88,136
2024-12,용인사업장,용,1602,25613,16447,15499,229,3643,4등급,82,232
2023-01,오산사업장,화,2035,42355,18269,12831,438,3721,4등급,85,254
2023-02,오산사업장,화,1715,13089,43291,30659,222,2269,5등급,119,120
2023-03,오산사업장,화,979,44565,44899,33706,152,3666,5등급,86,236
2023-04,오산사업장,화,642,22479,44178,22665,168,1534,5등급,116,58
2023-05,오산사업장,화,1910,32469,47268,11172,476,4338,2등급,103,174
2023-06,오산사업장,화,1046,47494,34054,39709,365,4723,4등급,113,218
2023-07,오산사업장,화,1133,11936,35538,21998,470,4840,4등급,118,53
2023-08,오산사업장,화,1920,40825,15204,38885,220,4203,2등급,84,68
2023-09,오산사업장,화,1141,13083,31584,18521,453,1773,5등급,90,240
2023-10,오산사업장,화,1525,12567,26121,11674,223,4380,4등급,89,262
2023-11,오산사업장,화,2759,19327,15127,33331,461,1459,5등급,93,289
2023-12,오산사업장,화,1961,33508,19045,30116,335,2329,4등급,103,136
2024-01,오산사업장,화,634,41624,23440,31797,345,4772,4등급,101,93
2024-02,오산사업장,화,2365,25734,28064,18433,393,1919,3등급,89,169
2024-03,오산사업장,화,1771,26453,30308,48968,481,3086,1등급,97,233
2024-04,오산사업장,화,1324,10755,49263,27400,279,2961,2등급,105,74
2024-05,오산사업장,화,1342,29222,43505,48968,279,1231,5등급,110,113
2024-06,오산사업장,화,954,23543,38960,32785,117,3734,1등급,116,275
2024-07,오산사업장,화,1095,30914,39553,33548,345,1401,5등급,109,221
2024-08,오산사업장,화,808,41625,34918,25577,263,2184,5등급,119,138
2024-09,오산사업장,화,2757,39412,31341,42018,378,2274,1등급,91,73
2024-10,오산사업장,화,1045,23304,44695,40225,156,3159,5등급,105,207
2024-11,오산사업장,화,1862,12663,19465,13326,175,3945,3등급,107,131
2024-12,오산사업장,화,1781,41358,47860,16022,381,4033,4등급,95,200
2023-01,부천사업장,평,1435,31691,34904,13044,496,2540,3등급,89,101
2023-02,부천사업장,평,1692,15812,41085,10654,461,1759,4등급,111,148
2023-03,부천사업장,평,754,31646,46591,37200,487,3058,4등급,105,238
2023-04,부천사업장,평,920,32356,33023,49148,318,2510,5등급,102,172
2023-05,부천사업장,평,1489,22476,14711,16479,258,3868,2등급,104,93
2023-06,부천사업장,평,2125,30836,34831,11007,452,2755,1등급,91,118
2023-07,부천사업장,평,783,37959,26482,37105,465,4297,5등급,118,155
2023-08,부천사업장,평,1888,12637,17242,45651,280,1544,1등급,87,150
2023-09,부천사업장,평,1267,32834,49288,43422,265,3446,5등급,108,132
2023-10,부천사업장,평,681,30786,15515,36627,450,4985,4등급,104,264
2023-11,부천사업장,평,1943,37586,47521,49850,162,2656,2등급,93,53
2023-12,부천사업장,평,928,35009,37675,46175,175,4699,5등급,113,283
2024-01,부천사업장,평,2915,25194,14951,38333,269,4829,2등급,117,200
2024-02,부천사업장,평,1673,18624,10835,28646,485,4632,3등급,113,232
2024-03,부천사업장,평,1188,41099,49385,45919,284,4438,5등급,94,76
2024-04,부천사업장,평,1459,47341,25339,13491,294,4285,1등급,101,163
2024-05,부천사업장,평,1253,48523,35163,27718,411,3755,4등급,110,235
2024-06,부천사업장,평,706,49828,25504,13057,136,1332,3등급,109,94
2024-07,부천사업장,평,2753,37043,43635,23779,407,1018,5등급,86,298
2024-08,부천사업장,평,2975,24017,49236,14150,365,4039,2등급,92,280
2024-09,부천사업장,평,952,23833,11381,18154,227,3738,5등급,87,242
2024-10,부천사업장,평,1380,13149,34660,30528,364,2168,5등급,110,101
2024-11,부천사업장,평,2201,40270,20386,46323,405,4744,5등급,93,297
2024-12,부천사업장,평,945,49132,13626,30400,391,2401,4등급,89,144
2023-01,인천사업장,시,761,36424,23382,14025,318,2556,4등급,95,105
2023-02,인천사업장,시,1482,13443,31395,20725,281,1024,4등급,84,169
2023-03,인천사업장,시,2312,24254,24021,15724,118,2407,1등급,80,286
2023-04,인천사업장,시,1910,29881,30756,39416,139,4394,1등급,117,286
2023-05,인천사업장,시,2602,48867,31939,37307,208,4937,5등급,102,247
2023-06,인천사업장,시,1894,41692,48384,25958,300,1848,5등급,81,68
2023-07,인천사업장,시,2758,18695,18070,37765,290,4625,2등급,99,122
2023-08,인천사업장,시,1540,47146,21182,34833,162,1573,4등급,98,66
2023-09,인천사업장,시,922,31969,31876,18949,350,2104,4등급,119,222
2023-10,인천사업장,시,2521,17837,29159,46877,424,4217,2등급,98,61
2023-11,인천사업장,시,1733,18720,47661,38362,198,2302,1등급,80,128
2023-12,인천사업장,시,1811,37912,44812,46160,312,3480,5등급,80,59
2024-01,인천사업장,시,1570,32906,44618,12939,441,2169,3등급,107,67
2024-02,인천사업장,시,1178,40640,43756,39777,171,3869,2등급,86,213
2024-03,인천사업장,시,1925,25867,24266,49422,492,3042,1등급,87,228
2024-04,인천사업장,시,1093,48285,19219,16310,303,3241,3등급,93,199
2024-05,인천사업장,시,1315,43171,23180,37301,410,1067,1등급,80,184
2024-06,인천사업장,시,2220,15470,40859,24953,232,2643,2등급,117,173
2024-07,인천사업장,시,1407,41169,32990,39661,207,3169,1등급,83,120
2024-08,인천사업장,시,817,41528,16130,12042,218,4745,2등급,117,94
2024-09,인천사업장,시,813,46018,18061,18609,143,4854,2등급,116,291
2024-10,인천사업장,시,1939,33042,28645,34405,173,4634,3등급,91,142
2024-11,인천사업장,시,1187,19484,15495,38481,103,4209,1등급,85,260
2024-12,인천사업장,시,824,36569,38552,38948,123,4557,4등급,103,236
